iter	Logloss
0	0.6920519422
1	0.6901055119
2	0.6879084598
3	0.6861925853
4	0.6847150232
5	0.6833804409
6	0.6819897315
7	0.6811264012
8	0.6796990933
9	0.6784504734
10	0.6775431129
11	0.6759396055
12	0.6743395913
13	0.6733119062
14	0.6723317467
15	0.6709986417
16	0.6701700454
17	0.6692262766
18	0.6678648536
19	0.6672526807
20	0.66563734
21	0.6642531748
22	0.6627651506
23	0.661956634
24	0.6610355907
25	0.6597613454
26	0.6586852833
27	0.6580195726
28	0.6569900308
29	0.6563375516
30	0.6557984822
31	0.6547133471
32	0.6541209332
33	0.6536704145
34	0.6527432257
35	0.6521030786
36	0.6516295672
37	0.6508843323
38	0.6502357401
39	0.6493213436
40	0.6488012683
41	0.648199065
42	0.6474879838
43	0.646933206
44	0.6464532705
45	0.6457615584
46	0.6452093842
47	0.6445337893
48	0.6437554501
49	0.6433071209
50	0.6424252686
51	0.6419618125
52	0.6414486059
53	0.6410863922
54	0.6400100309
55	0.6392099979
56	0.6386743905
57	0.6379330732
58	0.6372969001
59	0.6367956153
60	0.6362335938
61	0.6358897168
62	0.6357003718
63	0.6350165307
64	0.6339197747
65	0.6327847386
66	0.6320458636
67	0.6311823202
68	0.6307007062
69	0.6298880099
70	0.6291138402
71	0.6281303988
72	0.6276576054
73	0.62684116
74	0.6264282608
75	0.6260450501
76	0.6255254922
77	0.6246417836
78	0.6243546082
79	0.6238665604
80	0.6231969522
81	0.6229375441
82	0.6225194341
83	0.621802901
84	0.6213593827
85	0.6207589756
86	0.620178059
87	0.6197254735
88	0.6188872176
89	0.6182728059
90	0.6177123498
91	0.6167319088
92	0.6165369606
93	0.6159286388
94	0.6155817166
95	0.6151949417
96	0.6148385339
97	0.6140309297
98	0.6135802706
99	0.6131797479
100	0.6127834235
101	0.6119517457
102	0.611184434
103	0.6108448962
104	0.6103448811
105	0.6098141206
106	0.6093275107
107	0.6089621415
108	0.6080215559
109	0.607231591
110	0.6068541502
111	0.6064963468
112	0.6059893382
113	0.6056417227
114	0.6050172933
115	0.6045069714
116	0.6039136246
117	0.6033932195
118	0.6031549407
119	0.6026007568
120	0.6021800649
121	0.6016378752
122	0.6011492358
123	0.6007298867
124	0.6003868919
125	0.599855419
126	0.5992899694
127	0.5986804158
128	0.5979671169
129	0.5977006058
130	0.5971275111
131	0.5959880231
132	0.5955304826
133	0.5948460057
134	0.5944262608
135	0.5942039257
136	0.5939058129
137	0.5936174636
138	0.5931383449
139	0.5925083663
140	0.5917717016
141	0.5913011467
142	0.590459688
143	0.5900422036
144	0.5896470007
145	0.5891140632
146	0.5884350217
147	0.588044492
148	0.587592927
149	0.5871586259
150	0.5866040959
151	0.5862981655
152	0.5858377234
153	0.585534498
154	0.5847372033
155	0.5843371536
156	0.5840565636
157	0.5834635694
158	0.5827050558
159	0.5821675104
160	0.5817087793
161	0.5805882098
162	0.580131798
163	0.5799718334
164	0.5791312477
165	0.5782589441
166	0.5774621953
167	0.577142741
168	0.5765346202
169	0.575633404
170	0.5751521925
171	0.5748064866
172	0.5743345764
173	0.574031277
174	0.5731633815
175	0.5728982791
176	0.5721371514
177	0.5710146458
178	0.5703438314
179	0.5696585557
180	0.5690117473
181	0.5686083053
182	0.5678128655
183	0.5674094653
184	0.5671243198
185	0.5665612429
186	0.5659606061
187	0.565319971
188	0.5647429368
189	0.5641673407
190	0.5633265474
191	0.5624490594
192	0.5621282341
193	0.5611757006
194	0.5605946429
195	0.5599225169
196	0.5588554482
197	0.5581706635
198	0.5574221412
199	0.5566344902
200	0.5557150319
201	0.5547417951
202	0.5545563724
203	0.5539388997
204	0.5533837129
205	0.5530141132
206	0.5526027457
207	0.5521229608
208	0.5512198854
209	0.5506082352
210	0.5500554489
211	0.5488516037
212	0.5484414326
213	0.5476928303
214	0.5468728693
215	0.5461062896
216	0.5457984133
217	0.5451634461
218	0.544672894
219	0.5438984459
220	0.5429006248
221	0.5421498678
222	0.5418022574
223	0.540850847
224	0.5404909671
225	0.5396421479
226	0.5385015919
227	0.5374526321
228	0.5372642238
229	0.5367289225
230	0.5357756866
231	0.5353588059
232	0.5350506637
233	0.5344352602
234	0.5337810451
235	0.5334863655
236	0.5330202749
237	0.5317076888
238	0.5312780791
239	0.5306672263
240	0.5300202442
241	0.5296209113
242	0.5289513436
243	0.528363512
244	0.5279530523
245	0.5273244117
246	0.5267346675
247	0.5260454854
248	0.5256947079
249	0.5250962397
250	0.524368499
251	0.5240731591
252	0.5230370362
253	0.5224180159
254	0.5217342548
255	0.5214876976
256	0.5205277055
257	0.5201894839
258	0.5194215749
259	0.5188356369
260	0.5181143571
261	0.5177880211
262	0.5173724868
263	0.5167758631
264	0.5163490547
265	0.5161104477
266	0.515702487
267	0.5152005134
268	0.5147377502
269	0.5142252857
270	0.513526665
271	0.5129667311
272	0.5122529832
273	0.5117075343
274	0.5113776167
275	0.510939043
276	0.5103645902
277	0.5100905623
278	0.5094863964
279	0.509101311
280	0.5083277478
281	0.5076138232
282	0.5072919952
283	0.5069490844
284	0.5065824092
285	0.5060066997
286	0.5051756181
287	0.5045904929
288	0.5040213852
289	0.5034130124
290	0.5030545968
291	0.5026079251
292	0.5021077374
293	0.5016607828
294	0.5008913203
295	0.5000588929
296	0.4995380088
297	0.4989274937
298	0.49809954
299	0.497735574
